city,state,lat,long,avg_yrly_dni
Hoboken,NJ,40.745255,-74.034775,3.79
Hoboken,NJ,40.745255,-74.034775,3.79
Port Hueneme,CA,34.155834000000006,-119.202789,
Auburn,NY,42.933334,-76.566666,3.75
Auburn,NY,42.933334,-76.566666,3.75
Jamestown,NY,42.095554,-79.238609,3.25
Jamestown,NY,42.095554,-79.238609,3.25
Fulton,MO,38.846668,-91.948059,4.46
Bedford,OH,41.392502,-81.534447,3.46
Stuart,FL,27.192223,-80.243057,4.71
San Angelo,TX,31.442778000000004,-100.45027900000001,
Woodbridge,NJ,40.560001,-74.290001,3.86
Vista,CA,33.193611,-117.24111200000002,5.54
Vista,CA,33.193611,-117.24111200000002,5.54
South Bend,IN,41.676388,-86.250275,3.6
South Bend,IN,41.676388,-86.250275,3.6
Davenport,IA,41.543056,-90.590836,4.07
Davenport,IA,41.543056,-90.590836,4.07
Sparks,NV,39.554443,-119.73555800000001,
Green Bay,WI,44.513332,-88.015831,3.95
Green Bay,WI,44.513332,-88.015831,3.95
San Mateo,CA,37.554169,-122.313057,5.13
Tyler,TX,32.349998,-95.300003,4.68
League City,TX,29.499722,-95.089722,4.24
Lewisville,TX,33.038334000000006,-97.006111,5.06
Meridian,ID,43.614166,-116.39888799999999,
Waterbury,CT,41.55611,-73.041389,3.86
Jurupa Valley,CA,34.0,-117.48333000000001,
West Palm Beach,FL,26.709722999999997,-80.064163,
Antioch,CA,38.005001,-121.80583200000001,
High Point,NC,35.970554,-79.997498,4.48
Miami Gardens,FL,25.942122,-80.26992,4.51
Murrieta,CA,33.569443,-117.202499,6.4
Springfield,IL,39.799999,-89.650002,4.24
El Monte,CA,34.073334,-118.027496,5.75
West Jordan,UT,40.606388,-111.97611200000001,
College Station,TX,30.601389,-96.31444499999999,
Fairfield,CA,38.257778,-122.05416899999999,
Evansville,IN,37.977222,-87.550552,4.12
Cambridge,MA,42.373611,-71.110558,3.69
Cambridge,MA,42.373611,-71.110558,3.69
Richardson,TX,32.965557000000004,-96.715836,4.94
Berkeley,CA,37.871666,-122.27278100000001,
Columbia,MS,38.951561,-92.328636,4.47
Athens,GA,33.950001,-83.38333100000001,4.57
Athens,GA,33.950001,-83.38333100000001,4.57
Lafayette,LA,30.216666999999998,-92.033333,
Sterling Heights,MI,42.580276,-83.030281,3.57
Visalia,CA,36.316666,-119.300003,6.02
Hampton,VA,37.034946000000005,-76.360123,
West Valley City,UT,40.689167,-111.993889,5.76
Surprise,AZ,33.630554,-112.36666899999999,
Thornton,CO,39.903057000000004,-104.95444499999999,
Miramar,FL,25.978889000000002,-80.282501,
Murfreesboro,TN,35.846111,-86.39194499999999,
Pasadena,CA,34.156113,-118.13194299999999,
Bridgeport,CT,41.18639,-73.195557,3.67
Paterson,NJ,40.914745,-74.16282700000001,
Rockford,IL,42.259445,-89.06444499999999,
Joliet,IL,41.520557000000004,-88.15055799999999,
Escondido,CA,33.124722,-117.08083300000001,
Kansas City,KS,39.106667,-94.676392,4.57
Kansas City,KS,39.106667,-94.676392,4.57
Springfield,MA,42.101391,-72.59027900000001,
Springfield,MO,37.210388,-93.297256,4.39
Springfield,MO,37.210388,-93.297256,4.39
Corona,CA,33.866669,-117.566666,5.79
Pembroke Pines,FL,26.012501,-80.313614,4.64
Elk Grove,CA,38.438332,-121.38194299999999,
Oceanside,CA,33.211665999999994,-117.32583600000001,
Newport News,VA,37.070831,-76.484444,4.39
Newport News,VA,37.070831,-76.484444,4.39
Sioux Falls,SD,43.536388,-96.731667,4.42
Vancouver,WA,45.633331,-122.599998,3.28
Vancouver,WA,45.633331,-122.599998,3.28
Worcester,MA,42.271389,-71.798889,3.81
Tallahassee,FL,30.455,-84.253334,4.94
Tallahassee,FL,30.455,-84.253334,4.94
Columbus,GA,32.492222,-84.94027700000001,
Augusta,GA,33.466667,-81.966667,4.56
Augusta,GA,33.466667,-81.966667,4.56
Montgomery,AL,32.361668,-86.279167,4.56
Montgomery,AL,32.361668,-86.279167,4.56
Aurora,IL,41.763889,-88.290001,3.73
Aurora,IL,41.763889,-88.290001,3.73
